Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count
Brand A,02-01-2026,,PAUSED,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,India,India,0.0,0.0,0.0,,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Brand A,03-01-2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,paused,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0
,20-01-2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,,,  INDIA  ,India,0.0,0.0,0.0,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,India,India,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,5964500.0,0.0,0.0,1.0
Brand A,11-01-2026,  GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES  ,PAUSED,,Custom | Video 2 | EOSS | 15th Dec 25 – Copy,  NAN  ,India,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,21-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,paused,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,-0.0,,0.0,0.0,0.0,,1.0
Brand A,22-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,india,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,18-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,,Custom | Carousel | EOSS | 15th Dec25 – Copy,,India,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,19-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,  INDIA  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,66.0
Brand A,17-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
brand a,01-01-2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,paused,tof | asc | cac | india,,India,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,  INDIA  ,india,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | 23rd Sept | TOF | ABO | Sales,PAUSED,  MARKET PLACES - TOF - SALES - GROWIFY  ,Custom | Catalog | 15th Dec 25,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,25-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Best Seller | In Stock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0
Brand A,21-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,-0.0,,1.0
Brand A,22-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0
Brand A,25-01-2026,Growify | 2nd December | ABO | Sale,,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,-1.0
Brand A,02-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0
  BRAND A  ,03-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,04-01-2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Brand A,01-01-2026,Growify | 2nd December | ABO | Sale,  PAUSED  ,  TOF | ENGAGED SHOPPERS| SALE | WOMEN  ,Catalogue | Set + Dress || Active | Instock,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,0.0,5160.0,0.0,0.0,1.0
