Data Source name,Date,Currency,Sales Channel,Transaction Timestamp,Order Created At,Order Updated At,Order ID,Order Name,Country Funnel,Geo Location Segment,Billing Country,Billing Province,Billing City,Order Tags,Product ID,Product Title,Product Tags,Product Type,Variant Title,Gross Sales (INR),Net Sales (INR),Total Sales (INR),Orders,Returns (INR),Return Rate,Items Sold,Items Returned,Average Order Value (INR),New Customer Orders,Returning Customer Orders,Average Items Per Order,Discounts (INR),Row Count,SKU,Customer Sale Type,Customer ID,Shipping Country
Brand A,08-01-2026,INR,Online Store,2026-01-08T11:39:42Z,2026-01-08T11:39:43Z,2026-01-08T11:39:44Z,-6318230000000.0,,United Arab Emirates,Middle East,,Dubai,Dubai,,,, nan,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,First-time,9052170000000.0,
Brand A,NAN,INR,Online Store,2026-01-13T06:25:45Z,2026-01-13T06:25:47Z,2026-01-13T06:25:48Z,6324090000000.0,#1053,United States,USA, united states,New York,Richmond Hill,,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,1.0,,,996568100000000.0,United States
Brand A,19-01-2026,INR,Online Store,2026-01-19T16:16:58Z,2026-01-19T16:16:59Z,2026-01-19T16:17:00Z,6333300000000.0,#1055,United States, nan,United States,California,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,1.0,,First-time,-997928800000000.0,United States
Brand A,29-01-2026,INR,Online Store,2026-01-29T15:56:31Z,2026-01-29T15:56:32Z,,6345630000000.0,#1057,United States,USA,United States,Texas,Flower Mound,,,,NAN,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,1.0,,First-time,1000255300000000.0,United States
Brand A,21-01-2026,INR,Online Store, 2026-01-21t17:02:56z,2026-01-21T17:02:59Z,2026-01-21T17:03:01Z,6335680000000.0,#1056,India,India,India,Kerala,Ernakulam,,,,,,,0.0,0.0,148.4614,0.0,0.0,,,,,0.0,,,0.0,,,First-time,,India
Brand A,04-01-2026,INR,Online Store,2026-01-04T16:16:06Z,2026-01-04T16:16:08Z,2026-01-04T16:16:09Z,,#1049,India,India,India,Tamil Nadu,Chennai,,,,,NAN,,0.0,0.0,150.260932,0.0,-0.0,,0.0,,,0.0,,,0.0,0.0,,First-time,9046300000000.0,
Brand A,,INR,ONLINE STORE,2026-01-06T01:41:01Z,2026-01-06T01:41:03Z,2026-01-06T01:41:04Z,6315420000000.0,#1050,India,,INDIA,,Mumbai,,,,,,,0.0,0.0,150.260932,0.0,0.0,,0.0,,,0.0,,,0.0,1.0,,First-time,9048400000000.0,India
Brand A,04-01-2026,INR,Online Store,,2026-01-04T04:40:13Z,2026-01-04T04:40:15Z,6313290000000.0,#1048,Singapore,Rest of the World, singapore,,Singapore,,,,,,,0.0,0.0,150.260932,0.0,0.0,,0.0,,,0.0,,,0.0,1.0,,First-time,9045700000000.0,India
Brand A,02-01-2026,INR,Online Store,2026-01-01T22:53:41Z,2026-01-01T22:53:42Z,2026-01-01T22:53:43Z,,#1046,United States,USA,United States,New Jersey,Middletown,,,,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,1.0,,First-time,994662900000000.0,India
Brand A,08-01-2026,INR,Online Store,2026-01-08T00:10:11Z,, 2026-01-08t00:10:13z,6317670000000.0,#1051,Canada,Rest of the World,Canada,Alberta,BEAUMONT,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,87.0,,First-time,8836460000000.0,Canada
Brand A, 01-01-2026,INR,Online Store,2026-01-01T05:12:25Z,2026-01-01T05:12:27Z,2026-01-01T05:12:28Z,,#1045,,Rest of the World,Singapore,,Singapore,,,,,,,0.0,0.0,2699.298182,,0.0,,0.0,,0.0,0.0,,,0.0,87.0,,First-time,9041380000000.0,Singapore
Brand A,03-01-2026, inr,Online Store,2026-01-03T15:09:11Z,2026-01-03T15:09:12Z,2026-01-03T15:09:13Z,6312540000000.0,#1047,Spain,Rest of the World,Spain,Vizcaya,Santurtzi,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,87.0,,First-time,,Spain
Brand A,15-01-2026,INR,Online Store,2026-01-15T04:17:04Z, 2026-01-15t04:17:05z,2026-01-15T04:17:07Z,6326910000000.0, #1054,United States,USA,United States,Illinois,Naperville,,,,,,,0.0,0.0,2699.298182,0.0,0.0,,0.0,,,0.0,,,0.0,1.0,,First-time,9062680000000.0,United States
Brand A,15-01-2026,INR,Online Store,2026-01-15T04:17:04Z,2026-01-15T04:17:05Z,2026-01-15T04:17:07Z,6326910000000.0,#1054,,USA,United States,Illinois,Naperville,,8835880000000.0,Daphne Stole,"Category_Stole, Collection_Lumiere, Tag_NewArrival",Stole,S,2879.251395,308079.89926499996,2879.251395,0.0,0.0,0.0,1.0,,,1.0,,1.0,0.0,1.0,DAPHNESTOLE-BG,First-time,0.0,United States
Brand A,19-01-2026,INR,Online Store,2026-01-19T16:16:58Z,2026-01-19T16:16:59Z,2026-01-19T16:17:00Z,6333300000000.0,#1055,United States,USA,United States,California, oakland,,8725100000000.0,Amelia Stole,"eoss-25, Express shipping, Stoles",Stole,One size,3149.181213,3149.181213,,-0.0,0.0,0.0,1.0,,,0.0,,,0.0,1.0,,First-time,9072080000000.0,United States
