Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count,ParsedDate
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,  INDIA  ,india,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,  NAN  ,Growify | 4th October | TOF | INDIA | Sales,PAUSED,,Reel | also.alpa | 4th October 25,  INDIA  ,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,
Brand A,,Growify | MOF + BOF | Conversion | India,ACTIVE,MOF + BOF | RT > Video Only,Custom | Video 1 | EOSS | 15th Dec 25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9270.0,,0.0,20320.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,,Catalogue | Set + Dress || Active | Instock,India,  INDIA  ,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,1.0,
Brand A,,Growify | TOF | INDIA | OPEN | SALES,PAUSED,tof | india | open audence,Catalogue | Price || 7k+ || Active | Instock,India,India,30.02,30.02,4.0,84.0,0.0,17.0,4.0,1.0,0.0,,-0.0,-0.0,,0.0,,0.0,0.0,1.0,
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 – Copy,India,India,158.57,158.57,8.0,266.0,,,864.0,792.0,0.0,0.0,1.0,0.0,,0.0,30640.0,0.0,0.0,,
Brand A,,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,  CATALOGUE | BEST SELLER | IN STOCK  ,India,India,162.24,162.24,4.0,177.0,0.0,,4.0,,0.0,,0.0,0.0,,0.0,558700.0,0.0,0.0,1.0,
  BRAND A  ,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,Custom | Carousel | EOSS | 15th Dec25 – Copy 2,India,India,237.07,237.07,8.0,,0.0,6.0,6.0,0.0,0.0,-0.0,1.0,7590.0,,0.0,-0.0,0.0,0.0,1.0,
Brand A,,Growify | 24th Jan 26 | Tof | Sales | India,PAUSED,TOF | INDIA | WOMEN | Maximum value of Conversions | Purchase,Video | Pooja Hedge | 24th Jan 26,India,India,238.94,238.94,5.0,226.0,0.0,0.0,216.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Engaged,Catalogue | Price || 7k+ || Active | Instock – Copy 2,India,India,323.3,323.3,-20.0,216.0,0.0,17.0,21.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,1.0,
Brand A,,Growify | TOF | Conversion | India,,TOF | INDIA | Marketplace,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,380.15,380.15,800.0,261.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
brand a,,Growify | BOF | Conversion | India,active,Ecomm | Viewed + ATC - 180 Days,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,India,37058.88,386.03,22.0,361.0,0.0,18.0,20.0,2.0,0.0,,0.0,,,0.0,17190.0,0.0,,1.0,
Brand A,,  GROWIFY | BOF | CONVERSION | INDIA  ,ACTIVE,Ecomm | Viewed + ATC - 180 Days,Catalog | CAR | Campaign Shoot | Mix | Mix | Summer | PDP | Deepak Maurya,India,  INDIA  ,423.69,423.69,3700.0,466.0,0.0,24.0,37.0,-0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,,Growify | TOF | Conversion | India,ACTIVE,TOF | INDIA | Marketplace,Catalogue | Price || 7k+ || Active | Instock – Copy,India,,471.42,471.42,14.0,301.0,0.0,-9.0,14.0,2.0,0.0,,0.0,0.0,,0.0,14400.0,0.0,,1.0,
,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Home Essential,custom | carousel | eoss | 15th dec25 – copy 2,India,india,685.2,685.2,46.0,1278.0,,37.0,43.0,12.0,0.0,0.0,0.0,0.0,,0.0,61520.0,0.0,0.0,-1.0,
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Video | esha | – Copy,India,India,710.19,710.19,,1831.0,,23.0,32.0,0.0,,,0.0,0.0,,1.0,,,,66.0,
,,Growify | TOF | Conversion | India,ACTIVE,Ecomm | Travel,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,782.78,782.78,65.0,858.0,0.0,66.0,67.0,-0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,
Brand A,  NAN  ,Growify | 24th Jan 26 | Tof | Sales | India,PAUSED,TOF | INDIA | WOMEN | Maximum value of Conversions | Purchase,Video | Mira Kapoor | 24th Jan 26,India,India,969.69,969.69,2000.0,398.0,0.0,21.0,15.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,
Brand A,,Growify | TOF | Conversion | India,,TOF | INDIA | Marketplace,Catalogue | Price || 7k+ || Active | Instock – Copy,India,India,1004.36,151658.36000000002,59.0,583.0,0.0,53.0,5940.0,21.0,,,1.0,6710.0,,0.0,23562644.0,,,1.0,
Brand A,,Growify | TOF | Conversion | India,,TOF | INDIA | Marketplace,,India,India,1054.579999,1054.579999,48.0,,0.0,,44.0,2.0,,,0.0,0.0,,0.0,-13696.0,,,1.0,
